[Arrival Time, Service Time, Time Remain, Time Finished, First Serviced, Wait Amount]
Quantum: 0.0500 	 Dispatch: 0.0000
[0, 9.571929, 0, 18.171929000000123, 0, 0]
[22, 8.560047, 0, 48.23197599999941, 22.021929000000178, 0.021929000000177723]
[1, 25.650548, 0, 62.28252399999838, 1.0000000000000002, 2.220446049250313e-16]
[23, 26.134516, 0, 89.01703999999664, 23.071929000000193, 0.07192900000019264]
[44, 42.415887, 0, 124.53292699999488, 44.12192899999963, 0.12192899999963203]
[105, 20.118175, 0, 152.5511020000001, 105.01703999999573, 0.017039999995731137]
[110, 30.165473, 0, 177.71657500000552, 110.06703999999544, 0.06703999999544408]
[145, 20.137875, 0, 182.7544500000065, 145.08292699999856, 0.08292699999856268]
[188, 23.002376, 0, 234.0023760000114, 188.00000000000114, 1.1368683772161603e-12]
[183, 35.208735, 0, 241.2111110000129, 183, 0]
[290, 17.159267, 0, 307.1592670000038, 290, 0]
[320, 27.688058, 0, 347.68805800000604, 320, 0]
[355, 5.973565, 0, 360.9735650000014, 355, 0]
[370, 14.135837, 0, 384.13583700000316, 370, 0]
[407, 19.368534, 0, 468.81853400001893, 407.050000000005, 0.05000000000501359]
[397, 26.506563, 0, 475.2250970000201, 397.00000000000273, 2.7284841053187847e-12]
[523, 2.843379, 0, 538.0184760000049, 523.1750970000184, 0.17509700001835427]
[514, 9.579488, 0, 560.4979639999844, 514.1250970000266, 0.1250970000265852]
[454, 37.669534, 0, 583.9674979999631, 454.1000000000157, 0.10000000001571152]
[533, 15.042583, 0, 595.5100809999526, 533.2250970000092, 0.22509700000921384]
[496, 49.92683, 0, 644.7869109999085, 496.07509700002487, 0.07509700002486852]
[654, 12.908772, 0, 679.8456829998765, 654.0369109999001, 0.03691099990010116]
[385, 156.461809, 0, 741.607491999819, 385, 0]
[749, 10.718434, 0, 770.4259259997928, 749.0074919998123, 0.007491999812259564]
[689, 84.755662, 0, 810.7815879997587, 689.0456829998682, 0.04568299986817692]
[851, 7.73245, 0, 869.6824499999813, 851.0499999999981, 0.049999999998135536]
[871, 0.404646, 0, 872.2870959999789, 871.08244999998, 0.08244999997998548]
[849, 57.787122, 0, 982.27421799988, 849, 0]
[984, 0.465955, 0, 986.4401729998762, 984.1742179998782, 0.1742179998782376]
[992, 10.417631, 0, 1049.0078039998193, 992.1901729998709, 0.1901729998709243]
[966, 43.723954, 0, 1198.9817579996832, 966.1370959998935, 0.13709599989351773]
[860, 100.359647, 0, 1257.7414049996332, 860.0999999999899, 0.09999999998990461]
[1118, 28.72895, 0, 1314.6203549995812, 1118.2078039997564, 0.2078039997563792]
[983, 56.291714, 0, 1325.2120689995727, 983.1242179998792, 0.12421799987919258]
[1180, 26.885525, 0, 1406.047593999499, 1180.2578039997, 0.25780399969994505]
[1272, 22.249149, 0, 1536.2967429993803, 1272.39140499962, 0.39140499961990827]
[1244, 26.570872, 0, 1544.167614999373, 1244.281757999642, 0.2817579996419681]
[1331, 18.321876, 0, 1573.8394909993458, 1331.362068999567, 0.36206899956710004]
[1337, 18.391092, 0, 1585.3805829993353, 1337.4620689995616, 0.4620689995615521]
[1551, 3.511068, 0, 1609.941650999313, 1551.717614999366, 0.7176149993661056]
[1263, 28.010057, 0, 1612.90170799931, 1263.3414049996281, 0.3414049996281392]
